"","x"
"1","Annamaria Middleton"
"2","Anne Steele"
"3","Betty"
"4","Biddy Henshawe"
"5","Cartwright"
"6","ColonelBrandon"
"7","Edward Ferrars"
"8","Elinor Dashwood"
"9","ElizaBrandon"
"10","ElizaWilliams"
"11","Harry Dashwood"
"12","John Willoughby"
"13","Lady Mary Middleton"
"14","Lord Morton"
"15","LordCourtland"
"16","Lucy Steele"
"17","Marianne Dashwood"
"18","Martha Sharpe"
"19","Miss Godby"
"20","Miss Morton"
"21","Miss Sophia Grey"
"22","Miss Sparks"
"23","Miss Walker"
"24","Mr Jennings"
"25","Mr John Dashwood"
"26","Mr Pratt"
"27","Mr Richardson"
"28","Mr Simpson"
"29","Mr Thomas Palmer"
"30","Mr. Rose"
"31","Mrs Charlotte Palmer"
"32","Mrs Dashwood"
"33","Mrs Dennison"
"34","Mrs Fanny Dashwood"
"35","Mrs Ferrars"
"36","Mrs Jennings"
"37","Mrs Richardson"
"38","Mrs Taylor"
"39","MrsBurgess"
"40","MrsClarke"
"41","Sally"
"42","Sir John Middleton"
"43","The Miss Careys"
"44","Thomas"
"45","Robert Ferrars"
"46","The Westons"
"47","The Whitakers"
"48","TheOldGentlemanDashwood"
