"V1","V2"
"Mr Bumble","Mrs Mann"
"Mr Bumble","Oliver Twist"
"Mrs Mann","Oliver Twist"
"Mr Bumble","Mr Limbkins"
"Mr Limbkins","Oliver Twist"
"Mr Bumble","Mr Gamfield"
"Mr Gamfield","Oliver Twist"
"Mr Gamfield","Mr Limbkins"
"Mr Bumble","Mr Sowerberry"
"Mr Sowerberry","Oliver Twist"
"Charlotte","Mr Bumble"
"Charlotte","Mr Sowerberry"
"Charlotte","Mrs Sowerberry"
"Charlotte","Oliver Twist"
"Mr Bumble","Mrs Sowerberry"
"Mr Sowerberry","Mrs Sowerberry"
"Mrs Sowerberry","Oliver Twist"
"Charlotte","Noah Claypole"
"Mr Sowerberry","Noah Claypole"
"Mrs Sowerberry","Noah Claypole"
"Noah Claypole","Oliver Twist"
"Mr Bumble","Noah Claypole"
"Dick","Oliver Twist"
"Artful Dodger","Fagin"
"Artful Dodger","Oliver Twist"
"Fagin","Oliver Twist"
"Artful Dodger","Bet"
"Artful Dodger","Charley Bates"
"Artful Dodger","Nancy"
"Bet","Charley Bates"
"Bet","Fagin"
"Bet","Nancy"
"Bet","Oliver Twist"
"Charley Bates","Fagin"
"Charley Bates","Nancy"
"Charley Bates","Oliver Twist"
"Fagin","Nancy"
"Nancy","Oliver Twist"
"Mr Fang","Oliver Twist"
"Mr Brownlow","Mr Fang"
"Mr Brownlow","Oliver Twist"
"Artful Dodger","Mr Brownlow"
"Artful Dodger","Mrs Bedwin"
"Mr Brownlow","Mrs Bedwin"
"Mrs Bedwin","Oliver Twist"
"Charley Bates","Mr Brownlow"
"Charley Bates","Mrs Bedwin"
"Artful Dodger","Bill Sikes"
"Bill Sikes","Charley Bates"
"Bill Sikes","Fagin"
"Bill Sikes","Nancy"
"Bill Sikes","Oliver Twist"
"Artful Dodger","Mr Fang"
"Bill Sikes","Mr Fang"
"Mr Fang","Nancy"
"Mr Brownlow","Mr Bumble"
"Mr Brownlow","Mr Grimwig"
"Mr Bumble","Mr Grimwig"
"Mr Grimwig","Oliver Twist"
"Mr Grimwig","Mrs Bedwin"
"Barney","Bill Sikes"
"Barney","Dick"
"Barney","Fagin"
"Barney","Nancy"
"Barney","Oliver Twist"
"Bill Sikes","Dick"
"Dick","Fagin"
"Dick","Nancy"
"Bet","Bill Sikes"
"Bet","Mr Brownlow"
"Bill Sikes","Mr Brownlow"
"Fagin","Mr Brownlow"
"Dick","Mr Bumble"
"Dick","Mr Mann"
"Dick","Mrs Mann"
"Mr Bumble","Mr Mann"
"Mr Mann","Mrs Mann"
"Mr Mann","Oliver Twist"
"Mr Bumble","Mrs Bedwin"
"Artful Dodger","Tom Chitling"
"Bet","Tom Chitling"
"Charley Bates","Tom Chitling"
"Fagin","Tom Chitling"
"Oliver Twist","Tom Chitling"
"Bill Sikes","Ned"
"Bill Sikes","Toby Crackit"
"Fagin","Ned"
"Fagin","Toby Crackit"
"Nancy","Ned"
"Nancy","Toby Crackit"
"Ned","Toby Crackit"
"Oliver Twist","Toby Crackit"
"Artful Dodger","Toby Crackit"
"Ned","Oliver Twist"
"Barney","Toby Crackit"
"Mr Bumble","Mrs Corney"
"Mrs Corney","Oliver Twist"
"Grannett","Mr Bumble"
"Grannett","Mrs Corney"
"Mr Bumble","Sally"
"Mrs Corney","Sally"
"Anny","Mrs Corney"
"Martha","Oliver Twist"
"Martha","Sally"
"Oliver Twist","Sally"
"Bet","Toby Crackit"
"Charley Bates","Toby Crackit"
"Toby Crackit","Tom Chitling"
"Bill Sikes","Mr Lively"
"Fagin","Mr Lively"
"Mr Lively","Toby Crackit"
"Barney","Phil Barker"
"Bill Sikes","Phil Barker"
"Fagin","Phil Barker"
"Phil Barker","Toby Crackit"
"Artful Dodger","Edward Leeford"
"Edward Leeford","Fagin"
"Edward Leeford","Toby Crackit"
"Charlotte","Mr Slout"
"Charlotte","Mrs Corney"
"Mr Bumble","Mr Slout"
"Mr Slout","Mr Sowerberry"
"Mr Slout","Mrs Corney"
"Mr Slout","Mrs Sowerberry"
"Mr Slout","Noah Claypole"
"Mr Sowerberry","Mrs Corney"
"Mrs Corney","Mrs Sowerberry"
"Mrs Corney","Noah Claypole"
"Charlotte","Toby Crackit"
"Mr Bumble","Toby Crackit"
"Noah Claypole","Toby Crackit"
"Bill Sikes","Brittles"
"Bill Sikes","Mr Giles"
"Brittles","Mr Giles"
"Brittles","Oliver Twist"
"Brittles","Toby Crackit"
"Mr Giles","Oliver Twist"
"Mr Giles","Toby Crackit"
