"V1","V2"
"Clara Copperfield","David Copperfield"
"Clara Copperfield","Miss Betsey Trotwood"
"David Copperfield","Miss Betsey Trotwood"
"Clara Copperfield","Clara Peggotty"
"Clara Peggotty","Miss Betsey Trotwood"
"Clara Copperfield","Ham Peggotty"
"Clara Copperfield","Mr Chillip"
"Clara Peggotty","Ham Peggotty"
"Clara Peggotty","Mr Chillip"
"Ham Peggotty","Miss Betsey Trotwood"
"Ham Peggotty","Mr Chillip"
"Miss Betsey Trotwood","Mr Chillip"
"Clara Peggotty","David Copperfield"
"David Copperfield","Mr Chillip"
"Clara Copperfield","Mr Murdstone"
"Clara Peggotty","Mr Murdstone"
"David Copperfield","Mr Murdstone"
"Clara Copperfield","Mr Passnidge"
"Clara Copperfield","Mr Quinion"
"David Copperfield","Mr Passnidge"
"David Copperfield","Mr Quinion"
"Mr Murdstone","Mr Passnidge"
"Mr Murdstone","Mr Quinion"
"Mr Passnidge","Mr Quinion"
"Clara Copperfield","Mrs Grayper"
"Clara Peggotty","Mrs Grayper"
"David Copperfield","Ham Peggotty"
"David Copperfield","Mrs Grayper"
"Ham Peggotty","Mr Murdstone"
"Ham Peggotty","Mrs Grayper"
"Mr Murdstone","Mrs Grayper"
"Clara Copperfield","Daniel Peggotty"
"Clara Copperfield","Little Emily"
"Clara Peggotty","Daniel Peggotty"
"Clara Peggotty","Little Emily"
"Daniel Peggotty","Ham Peggotty"
"Daniel Peggotty","Little Emily"
"Ham Peggotty","Little Emily"
"Clara Copperfield","Mrs Gummidge"
"Clara Peggotty","Mrs Gummidge"
"Daniel Peggotty","Mrs Gummidge"
"Ham Peggotty","Mrs Gummidge"
"Little Emily","Mrs Gummidge"
"Daniel Peggotty","David Copperfield"
"David Copperfield","Little Emily"
"David Copperfield","Mrs Gummidge"
"Clara Copperfield","Mr Gummidge"
"Clara Peggotty","Mr Gummidge"
"Daniel Peggotty","Mr Gummidge"
"David Copperfield","Mr Gummidge"
"Ham Peggotty","Mr Gummidge"
"Little Emily","Mr Gummidge"
"Mr Gummidge","Mrs Gummidge"
"Little Emily","Mr Murdstone"
"Mr Gummidge","Mr Murdstone"
"Mr Murdstone","Mrs Gummidge"
"Clara Copperfield","Jane Murdstone"
"Clara Peggotty","Jane Murdstone"
"Jane Murdstone","Mrs Gummidge"
"Jane Murdstone","Mr Murdstone"
"Clara Copperfield","Tom Jones"
"David Copperfield","Jane Murdstone"
"David Copperfield","Tom Jones"
"Jane Murdstone","Tom Jones"
"Mr Murdstone","Tom Jones"
"Daniel Peggotty","Jane Murdstone"
"Daniel Peggotty","Mr Murdstone"
"Ham Peggotty","Jane Murdstone"
"Jane Murdstone","Little Emily"
"Barkis","Clara Copperfield"
"Barkis","Clara Peggotty"
"Barkis","David Copperfield"
"Barkis","Daniel Peggotty"
"Barkis","Little Emily"
"Barkis","Topsawyer"
"Daniel Peggotty","Topsawyer"
"Little Emily","Topsawyer"
"Clara Peggotty","George Demple"
"Clara Peggotty","Mrs Fibbitson"
"Mr Murdstone","Mrs Fibbitson"
"David Copperfield","Mr Mell"
"David Copperfield","Mrs Fibbitson"
"Mr Mell","Mrs Fibbitson"
"Clara Copperfield","George Demple"
"Clara Copperfield","Miss Creakle"
"Clara Copperfield","Mr Creakle"
"Clara Copperfield","Mr Mell"
"Clara Copperfield","Mrs Creakle"
"Clara Copperfield","Tommy Traddles"
"Clara Peggotty","Miss Creakle"
"Clara Peggotty","Mr Creakle"
"Clara Peggotty","Mr Mell"
"Clara Peggotty","Mrs Creakle"
"Clara Peggotty","Tommy Traddles"
"David Copperfield","George Demple"
"David Copperfield","Miss Creakle"
"David Copperfield","Mr Creakle"
"David Copperfield","Mrs Creakle"
"David Copperfield","Tommy Traddles"
"George Demple","Miss Creakle"
"George Demple","Mr Creakle"
"George Demple","Mr Mell"
"George Demple","Mrs Creakle"
"George Demple","Tommy Traddles"
"Miss Creakle","Mr Creakle"
"Miss Creakle","Mr Mell"
"Miss Creakle","Mrs Creakle"
"Miss Creakle","Tommy Traddles"
"Mr Creakle","Mr Mell"
"Mr Creakle","Mrs Creakle"
"Mr Creakle","Tommy Traddles"
"Mr Mell","Mrs Creakle"
"Mr Mell","Tommy Traddles"
"Mrs Creakle","Tommy Traddles"
"Clara Peggotty","James Steerforth"
"James Steerforth","Jane Murdstone"
"James Steerforth","Mr Creakle"
"James Steerforth","Mr Mell"
"James Steerforth","Mr Murdstone"
"Jane Murdstone","Mr Creakle"
"Jane Murdstone","Mr Mell"
"Mr Creakle","Mr Murdstone"
"Mr Mell","Mr Murdstone"
"Clara Copperfield","James Steerforth"
"Clara Copperfield","Mr Sharp"
"Clara Peggotty","Mr Sharp"
"David Copperfield","James Steerforth"
"David Copperfield","Mr Sharp"
"James Steerforth","Mr Sharp"
"James Steerforth","Tommy Traddles"
"Mr Creakle","Mr Sharp"
"Mr Mell","Mr Sharp"
"Mr Sharp","Tommy Traddles"
"David Copperfield","Mrs Mell"
"David Copperfield","Tungay"
"James Steerforth","Miss Creakle"
"James Steerforth","Mrs Creakle"
"James Steerforth","Mrs Mell"
"James Steerforth","Tungay"
"Miss Creakle","Mr Sharp"
"Miss Creakle","Mrs Mell"
"Miss Creakle","Tungay"
"Mr Creakle","Mrs Mell"
"Mr Creakle","Tungay"
"Mr Mell","Mrs Mell"
"Mr Mell","Tungay"
"Mr Sharp","Mrs Creakle"
"Mr Sharp","Mrs Mell"
"Mr Sharp","Tungay"
"Mrs Creakle","Mrs Mell"
"Mrs Creakle","Tungay"
"Mrs Mell","Tommy Traddles"
"Mrs Mell","Tungay"
"Tommy Traddles","Tungay"
