"V1","V2"
"Gaffer Hexam","Lizzie Hexam"
"Lord Snigsworth","Melvin Twemlow"
"Lord Snigsworth","Mr Veneering"
"Lord Snigsworth","Mrs  Veneering"
"Melvin Twemlow","Mr Veneering"
"Melvin Twemlow","Mrs  Veneering"
"Mr Veneering","Mrs  Veneering"
"Boots Brewer","Lady Tippins"
"Boots Brewer","Lord Snigsworth"
"Boots Brewer","Melvin Twemlow"
"Boots Brewer","Mr Veneering"
"Boots Brewer","Mrs  Veneering"
"Boots Brewer","Mrs Podsnap"
"Lady Tippins","Lord Snigsworth"
"Lady Tippins","Melvin Twemlow"
"Lady Tippins","Mr Veneering"
"Lady Tippins","Mrs  Veneering"
"Lady Tippins","Mrs Podsnap"
"Lord Snigsworth","Mrs Podsnap"
"Melvin Twemlow","Mrs Podsnap"
"Mr Veneering","Mrs Podsnap"
"Mrs  Veneering","Mrs Podsnap"
"Analytical Chemist","Boots Brewer"
"Analytical Chemist","Eugene Wrayburn"
"Analytical Chemist","Lady Tippins"
"Analytical Chemist","Melvin Twemlow"
"Analytical Chemist","Mortimer Lightwood"
"Analytical Chemist","Mr Veneering"
"Analytical Chemist","Mrs  Veneering"
"Boots Brewer","Eugene Wrayburn"
"Boots Brewer","Mortimer Lightwood"
"Eugene Wrayburn","Lady Tippins"
"Eugene Wrayburn","Melvin Twemlow"
"Eugene Wrayburn","Mortimer Lightwood"
"Eugene Wrayburn","Mr Veneering"
"Eugene Wrayburn","Mrs  Veneering"
"Lady Tippins","Mortimer Lightwood"
"Melvin Twemlow","Mortimer Lightwood"
"Mortimer Lightwood","Mr Veneering"
"Mortimer Lightwood","Mrs  Veneering"
"Analytical Chemist","Mrs Podsnap"
"Eugene Wrayburn","Mrs Podsnap"
"Mortimer Lightwood","Mrs Podsnap"
"Analytical Chemist","Mr Podsnap"
"Lady Tippins","Mr Podsnap"
"Mortimer Lightwood","Mr Podsnap"
"Mr Podsnap","Mrs  Veneering"
"Mr Podsnap","Mrs Podsnap"
"Eugene Wrayburn","Gaffer Hexam"
"Gaffer Hexam","Lady Tippins"
"Gaffer Hexam","Mortimer Lightwood"
"Gaffer Hexam","Mr Veneering"
"Eugene Wrayburn","Mr Inspector"
"Gaffer Hexam","Mr Inspector"
"Lady Tippins","Mr Inspector"
"Mortimer Lightwood","Mr Inspector"
"Charley Hexam","Gaffer Hexam"
"Charley Hexam","John Harmon"
"Charley Hexam","Mr Inspector"
"Gaffer Hexam","John Harmon"
"John Harmon","Mr Inspector"
"Charley Hexam","Lizzie Hexam"
"Gaffer Hexam","Jacob Kibble"
"Gaffer Hexam","Job Potterson"
"Gaffer Hexam","Melvin Twemlow"
"Jacob Kibble","Job Potterson"
"Jacob Kibble","John Harmon"
"Jacob Kibble","Melvin Twemlow"
"Jacob Kibble","Mortimer Lightwood"
"Jacob Kibble","Mr Inspector"
"Jacob Kibble","Mr Veneering"
"Job Potterson","John Harmon"
"Job Potterson","Melvin Twemlow"
"Job Potterson","Mortimer Lightwood"
"Job Potterson","Mr Inspector"
"Job Potterson","Mr Veneering"
"John Harmon","Melvin Twemlow"
"John Harmon","Mortimer Lightwood"
"John Harmon","Mr Veneering"
"Melvin Twemlow","Mr Inspector"
"Mr Inspector","Mr Veneering"
"Bradley Headstone","Mr Veneering"
"Bradley Headstone","Mr Wilfer"
"Bradley Headstone","Mrs Wilfer"
"Mr Veneering","Mr Wilfer"
"Mr Veneering","Mrs Wilfer"
"Mr Wilfer","Mrs Wilfer"
"Bella Wilfer","John Harmon"
"Bella Wilfer","Lavinia Wilfer"
"Bella Wilfer","Mr Wilfer"
"Bella Wilfer","Mrs Wilfer"
"John Harmon","Lavinia Wilfer"
"John Harmon","Mr Wilfer"
"John Harmon","Mrs Wilfer"
"Lavinia Wilfer","Mr Wilfer"
"Lavinia Wilfer","Mrs Wilfer"
"Bella Wilfer","George Sampson"
"Bella Wilfer","Mortimer Lightwood"
"George Sampson","Lavinia Wilfer"
"George Sampson","Mortimer Lightwood"
"George Sampson","Mr Wilfer"
"George Sampson","Mrs Wilfer"
"Lavinia Wilfer","Mortimer Lightwood"
"Mortimer Lightwood","Mr Wilfer"
"Mortimer Lightwood","Mrs Wilfer"
"George Sampson","John Harmon"
"Mr Boffin","Silas Wegg"
"Mr Boffin","Mrs Boffin"
"Mrs Boffin","Silas Wegg"
"Abbey Potterson","Rogue Riderhood"
"Abbey Potterson","Bob Glamour"
"Abbey Potterson","Gaffer Hexam"
"Abbey Potterson","George Jones"
"Bob Glamour","Gaffer Hexam"
"Bob Glamour","George Jones"
"Bob Glamour","Rogue Riderhood"
"Gaffer Hexam","George Jones"
"Gaffer Hexam","Rogue Riderhood"
