"V1","V2"
"CatherineMorland","GeorgeMorland"
"CatherineMorland","HarrietMorland"
"CatherineMorland","JamesMorland"
"CatherineMorland","LittleRichardMorland"
"CatherineMorland","MrRichardMorland"
"CatherineMorland","SarahMoreland"
"GeorgeMorland","HarrietMorland"
"GeorgeMorland","JamesMorland"
"GeorgeMorland","LittleRichardMorland"
"GeorgeMorland","MrRichardMorland"
"GeorgeMorland","SarahMoreland"
"HarrietMorland","JamesMorland"
"HarrietMorland","LittleRichardMorland"
"HarrietMorland","MrRichardMorland"
"HarrietMorland","SarahMoreland"
"JamesMorland","LittleRichardMorland"
"JamesMorland","MrRichardMorland"
"JamesMorland","SarahMoreland"
"LittleRichardMorland","MrRichardMorland"
"LittleRichardMorland","SarahMoreland"
"MrRichardMorland","SarahMoreland"
"CatherineMorland","MrAllen"
"GeorgeMorland","MrAllen"
"HarrietMorland","MrAllen"
"JamesMorland","MrAllen"
"LittleRichardMorland","MrAllen"
"MrAllen","MrRichardMorland"
"CatherineMorland","MrsAllen"
"JamesMorland","MrsAllen"
"MrAllen","MrsAllen"
"MrAllen","SarahMoreland"
"MrsAllen","SarahMoreland"
"CatherineMorland","GeorgeParry"
"GeorgeParry","MrAllen"
"GeorgeParry","MrsAllen"
"MrHenryTilney","MrKing"
"MrHenryTilney","MrsAllen"
"MrKing","MrsAllen"
"CatherineMorland","MrHenryTilney"
"MrAllen","MrHenryTilney"
"AnneThorpe","CatherineMorland"
"AnneThorpe","EdwardThorpe"
"AnneThorpe","IsabellaThorpe"
"AnneThorpe","JamesMorland"
"AnneThorpe","JohnThorpe"
"AnneThorpe","MariaThorpe"
"AnneThorpe","MrHenryTilney"
"AnneThorpe","MrsAllen"
"AnneThorpe","MrsThorpe"
"AnneThorpe","WilliamThorpe"
"CatherineMorland","EdwardThorpe"
"CatherineMorland","IsabellaThorpe"
"CatherineMorland","JohnThorpe"
"CatherineMorland","MariaThorpe"
"CatherineMorland","MrsThorpe"
"CatherineMorland","WilliamThorpe"
"EdwardThorpe","IsabellaThorpe"
"EdwardThorpe","JamesMorland"
"EdwardThorpe","JohnThorpe"
"EdwardThorpe","MariaThorpe"
"EdwardThorpe","MrHenryTilney"
"EdwardThorpe","MrsAllen"
"EdwardThorpe","MrsThorpe"
"EdwardThorpe","WilliamThorpe"
"IsabellaThorpe","JamesMorland"
"IsabellaThorpe","JohnThorpe"
"IsabellaThorpe","MariaThorpe"
"IsabellaThorpe","MrHenryTilney"
"IsabellaThorpe","MrsAllen"
"IsabellaThorpe","MrsThorpe"
"IsabellaThorpe","WilliamThorpe"
"JamesMorland","JohnThorpe"
"JamesMorland","MariaThorpe"
"JamesMorland","MrHenryTilney"
"JamesMorland","MrsThorpe"
"JamesMorland","WilliamThorpe"
"JohnThorpe","MariaThorpe"
"JohnThorpe","MrHenryTilney"
"JohnThorpe","MrsAllen"
"JohnThorpe","MrsThorpe"
"JohnThorpe","WilliamThorpe"
"MariaThorpe","MrHenryTilney"
"MariaThorpe","MrsAllen"
"MariaThorpe","MrsThorpe"
"MariaThorpe","WilliamThorpe"
"MrHenryTilney","MrsThorpe"
"MrHenryTilney","WilliamThorpe"
"MrsAllen","MrsThorpe"
"MrsAllen","WilliamThorpe"
"MrsThorpe","WilliamThorpe"
"IsabellaThorpe","MrAllen"
"MrAllen","MrsThorpe"
"AnneThorpe","MrAllen"
"JohnThorpe","MrAllen"
"MariaThorpe","MrAllen"
